iter	Passed	Remaining
659	2954	1522
660	2958	1517
661	2963	1513
662	2967	1508
663	2971	1503
664	2975	1499
665	2980	1494
666	2985	1490
667	2990	1486
668	2994	1481
669	2998	1476
670	3003	1472
671	3008	1468
672	3013	1463
673	3016	1459
674	3021	1454
675	3025	1450
676	3029	1445
677	3034	1440
678	3039	1436
679	3044	1432
680	3049	1428
681	3054	1424
682	3059	1420
683	3064	1415
684	3069	1411
685	3073	1406
686	3077	1402
687	3081	1397
688	3086	1393
689	3090	1388
690	3094	1383
691	3098	1379
692	3102	1374
693	3106	1369
694	3110	1365
695	3115	1360
696	3120	1356
697	3123	1351
698	3129	1347
699	3133	1342
700	3137	1338
701	3142	1333
702	3146	1329
703	3150	1324
704	3153	1319
705	3158	1315
706	3163	1310
707	3167	1306
708	3171	1301
709	3176	1297
710	3181	1293
711	3185	1288
712	3189	1283
713	3193	1279
714	3197	1274
715	3202	1270
716	3207	1265
717	3211	1261
718	3215	1256
719	3218	1251
720	3223	1247
721	3227	1242
722	3232	1238
723	3236	1233
724	3240	1229
725	3244	1224
726	3249	1220
727	3253	1215
728	3259	1211
729	3263	1207
730	3267	1202
731	3272	1197
732	3276	1193
733	3280	1188
734	3283	1184
735	3288	1179
736	3291	1174
737	3295	1170
738	3300	1165
739	3305	1161
740	3310	1156
741	3315	1152
742	3319	1148
743	3322	1143
744	3326	1138
745	3330	1134
746	3334	1129
747	3339	1125
748	3344	1120
749	3348	1116
750	3352	1111
751	3356	1107
752	3361	1102
753	3366	1098
754	3371	1094
755	3375	1089
756	3379	1084
757	3383	1080
758	3387	1075
759	3392	1071
760	3396	1066
761	3400	1062
762	3404	1057
763	3408	1052
764	3413	1048
765	3416	1043
766	3420	1039
767	3424	1034
768	3428	1030
769	3432	1025
770	3435	1020
771	3439	1015
772	3444	1011
773	3449	1007
774	3453	1002
775	3458	998
776	3463	993
777	3467	989
778	3472	985
779	3476	980
780	3480	975
781	3484	971
782	3488	966
783	3492	962
784	3497	957
785	3501	953
786	3506	949
787	3510	944
788	3514	939
789	3518	935
790	3523	930
791	3527	926
792	3531	921
793	3536	917
794	3541	913
795	3547	909
796	3551	904
797	3555	899
798	3559	895
799	3564	891
800	3569	886
801	3573	882
802	3578	877
803	3582	873
804	3587	869
805	3591	864
806	3596	860
807	3600	855
808	3605	851
809	3609	846
810	3613	842
811	3617	837
812	3622	833
813	3626	828
814	3631	824
815	3635	819
816	3639	815
817	3643	810
818	3648	806
819	3652	801
820	3657	797
821	3661	792
822	3666	788
823	3670	783
824	3674	779
825	3679	775
826	3683	770
827	3687	766
828	3692	761
829	3696	757
830	3701	752
831	3705	748
832	3709	743
833	3713	739
834	3718	734
835	3722	730
836	3726	725
837	3731	721
838	3735	716
839	3740	712
840	3746	708
841	3750	703
842	3754	699
843	3759	694
844	3762	690
845	3768	685
846	3772	681
847	3777	677
848	3783	672
849	3788	668
850	3793	664
851	3798	659
852	3802	655
853	3807	650
854	3811	646
855	3816	641
856	3820	637
857	3824	632
858	3829	628
859	3833	624
860	3837	619
861	3842	615
862	3846	610
863	3851	606
864	3855	601
865	3860	597
866	3864	592
867	3869	588
868	3873	583
869	3877	579
870	3882	575
871	3885	570
872	3890	565
873	3894	561
874	3898	556
875	3903	552
876	3908	548
877	3914	543
878	3917	539
879	3922	534
880	3927	530
881	3932	526
882	3937	521
883	3942	517
884	3946	512
885	3950	508
886	3955	503
887	3959	499
888	3964	495
889	3968	490
890	3973	486
891	3977	481
892	3983	477
893	3987	472
894	3991	468
895	3995	463
896	4000	459
897	4005	454
898	4010	450
899	4015	446
900	4019	441
901	4024	437
902	4028	432
903	4033	428
904	4037	423
905	4042	419
906	4045	414
907	4052	410
908	4056	406
909	4061	401
910	4065	397
911	4069	392
912	4074	388
913	4080	383
914	4086	379
915	4090	375
916	4095	370
917	4099	366
918	4104	361
919	4108	357
920	4113	352
921	4118	348
922	4123	343
923	4127	339
924	4132	335
925	4136	330
926	4141	326
927	4146	321
928	4151	317
929	4155	312
930	4159	308
931	4164	303
932	4168	299
933	4172	294
934	4176	290
935	4181	285
936	4186	281
937	4190	276
938	4195	272
939	4200	268
940	4204	263
941	4209	259
942	4214	254
943	4219	250
944	4223	245
945	4228	241
946	4232	236
947	4237	232
948	4241	227
949	4246	223
950	4252	219
951	4257	214
952	4261	210
953	4265	205
954	4269	201
955	4273	196
956	4278	192
957	4282	187
958	4288	183
959	4293	178
960	4297	174
961	4302	169
962	4307	165
963	4312	161
964	4317	156
965	4321	152
966	4325	147
967	4330	143
968	4334	138
969	4339	134
970	4344	129
971	4348	125
972	4352	120
973	4356	116
974	4361	111
975	4366	107
976	4371	102
977	4376	98
978	4381	93
979	4386	89
980	4390	85
981	4394	80
982	4399	76
983	4403	71
984	4408	67
985	4413	62
986	4418	58
987	4422	53
988	4427	49
989	4432	44
990	4437	40
991	4441	35
992	4447	31
993	4451	26
994	4455	22
995	4459	17
996	4464	13
997	4469	8
998	4473	4
999	4478	0
