iter	Passed	Remaining
530	36028	31821
531	36088	31746
532	36144	31669
533	36204	31594
534	36287	31539
535	36352	31469
536	36419	31400
537	36500	31344
538	36567	31275
539	36630	31203
540	36705	31142
541	36776	31076
542	36836	31002
543	36896	30928
544	36961	30858
545	37025	30787
546	37093	30718
547	37158	30649
548	37233	30586
549	37310	30526
550	37375	30456
551	37444	30389
552	37514	30324
553	37589	30261
554	37650	30187
555	37722	30124
556	37772	30041
557	37836	29970
558	37903	29902
559	37969	29833
560	38033	29762
561	38098	29692
562	38178	29633
563	38251	29570
564	38323	29505
565	38396	29441
566	38475	29382
567	38538	29310
568	38592	29232
569	38655	29161
570	38729	29097
571	38785	29021
572	38852	28952
573	38920	28884
574	38988	28817
575	39070	28760
576	39132	28687
577	39200	28620
578	39272	28555
579	39348	28494
580	39419	28428
581	39485	28358
582	39560	28296
583	39636	28234
584	39698	28162
585	39766	28094
586	39831	28024
587	39895	27954
588	39964	27887
589	40019	27810
590	40083	27739
591	40152	27672
592	40224	27607
593	40288	27537
594	40352	27466
595	40425	27402
596	40502	27341
597	40568	27271
598	40644	27209
599	40713	27142
600	40781	27074
601	40858	27012
602	40907	26932
603	40960	26854
604	41019	26781
605	41093	26717
606	41165	26652
607	41238	26587
608	41294	26512
609	41368	26448
610	41432	26378
611	41500	26310
612	41570	26244
613	41631	26172
614	41710	26111
615	41775	26042
616	41839	25971
617	41902	25901
618	41980	25839
619	42053	25774
620	42129	25711
621	42192	25641
622	42265	25576
623	42333	25508
624	42398	25439
625	42466	25371
626	42530	25301
627	42592	25230
628	42659	25161
629	42727	25094
630	42785	25020
631	42841	24945
632	42913	24880
633	42979	24811
634	43041	24740
635	43120	24679
636	43180	24606
637	43241	24535
638	43312	24469
639	43390	24407
640	43462	24341
641	43530	24274
642	43586	24199
643	43648	24128
644	43706	24055
645	43774	23987
646	43839	23918
647	43910	23852
648	43984	23788
649	44055	23722
650	44127	23656
651	44201	23592
652	44263	23521
653	44328	23451
654	44396	23384
655	44474	23321
656	44542	23254
657	44606	23184
658	44680	23120
659	44739	23047
660	44806	22979
661	44866	22907
662	44930	22838
663	44993	22767
664	45059	22698
665	45126	22631
666	45199	22566
667	45268	22498
668	45335	22430
669	45403	22362
670	45472	22295
671	45534	22225
672	45602	22157
673	45672	22091
674	45739	22022
675	45799	21951
676	45860	21880
677	45926	21811
678	45994	21743
679	46056	21673
680	46122	21605
681	46185	21535
682	46239	21461
683	46314	21396
684	46381	21328
685	46450	21261
686	46521	21195
687	46577	21122
688	46636	21050
689	46701	20981
690	46773	20915
691	46847	20851
692	46907	20780
693	46968	20709
694	47027	20637
695	47093	20569
696	47159	20501
697	47220	20430
698	47283	20361
699	47351	20293
700	47420	20226
701	47488	20158
702	47565	20095
703	47635	20028
704	47706	19962
705	47776	19895
706	47841	19826
707	47913	19760
708	47978	19692
709	48037	19620
710	48100	19551
711	48171	19484
712	48242	19418
713	48313	19352
714	48377	19283
715	48446	19216
716	48522	19151
717	48585	19082
718	48643	19010
719	48704	18940
720	48778	18875
721	48854	18810
722	48918	18741
723	48986	18674
724	49052	18606
725	49108	18533
726	49183	18469
727	49246	18399
728	49312	18331
729	49382	18264
730	49456	18199
731	49529	18133
732	49595	18065
733	49663	17997
734	49731	17930
735	49797	17862
736	49865	17794
737	49923	17723
738	49993	17656
739	50061	17589
740	50133	17523
741	50212	17459
742	50293	17396
743	50372	17332
744	50452	17269
745	50530	17204
746	50610	17141
747	50677	17073
748	50741	17004
749	50804	16934
750	50879	16869
751	50945	16801
752	51018	16735
753	51080	16665
754	51143	16596
755	51220	16531
756	51292	16465
757	51357	16396
758	51440	16333
759	51509	16266
760	51574	16197
761	51638	16128
762	51704	16060
763	51766	15990
764	51832	15922
765	51905	15856
766	51971	15787
767	52032	15718
768	52096	15649
769	52159	15580
770	52232	15513
771	52305	15447
772	52375	15380
773	52442	15312
774	52509	15244
775	52566	15173
776	52631	15105
777	52690	15035
778	52758	14967
779	52823	14899
780	52881	14828
781	52945	14759
782	53013	14692
783	53082	14624
784	53140	14554
785	53201	14484
786	53283	14421
787	53360	14356
788	53420	14286
789	53484	14217
790	53549	14149
791	53611	14079
792	53669	14009
793	53739	13942
794	53810	13875
795	53877	13807
796	53949	13741
797	54015	13673
798	54077	13603
799	54144	13536
800	54216	13469
801	54287	13402
802	54355	13334
803	54429	13268
804	54498	13201
805	54571	13134
806	54638	13067
807	54705	12999
808	54776	12932
809	54848	12865
810	54911	12796
811	54994	12732
812	55068	12666
813	55135	12598
814	55191	12528
815	55270	12463
816	55341	12395
817	55409	12328
818	55465	12257
819	55538	12191
820	55598	12121
821	55673	12055
822	55739	11987
823	55797	11917
824	55861	11849
825	55934	11782
826	56009	11716
827	56079	11649
828	56143	11580
829	56209	11512
830	56282	11446
831	56349	11378
832	56417	11310
833	56491	11244
834	56560	11176
835	56635	11110
836	56701	11042
837	56757	10972
838	56833	10906
839	56898	10837
840	56966	10770
841	57038	10703
842	57103	10634
843	57169	10566
844	57233	10498
845	57303	10431
846	57384	10365
847	57452	10298
848	57522	10230
849	57597	10164
850	57672	10097
851	57745	10030
852	57813	9963
853	57871	9893
854	57945	9827
855	58016	9759
856	58081	9691
857	58160	9625
858	58232	9558
859	58318	9493
860	58378	9424
861	58449	9357
862	58524	9290
863	58605	9224
864	58668	9156
865	58738	9088
866	58812	9022
867	58870	8952
868	58928	8883
869	59000	8816
870	59068	8748
871	59136	8680
872	59213	8614
873	59278	8545
874	59347	8478
875	59415	8410
876	59482	8342
877	59550	8274
878	59619	8206
879	59689	8139
880	59765	8072
881	59828	8004
882	59899	7936
883	59972	7869
884	60049	7803
885	60111	7734
886	60173	7665
887	60248	7598
888	60334	7533
889	60402	7465
890	60470	7397
891	60547	7330
892	60610	7262
893	60683	7195
894	60743	7126
895	60809	7058
896	60869	6989
897	60927	6920
898	60996	6852
899	61072	6785
900	61143	6718
901	61219	6651
902	61290	6583
903	61365	6516
904	61442	6449
905	61520	6382
906	61576	6313
907	61654	6246
908	61722	6179
909	61792	6111
910	61866	6044
911	61934	5976
912	61999	5907
913	62060	5839
914	62131	5771
915	62207	5704
916	62283	5637
917	62354	5569
918	62429	5502
919	62513	5435
920	62581	5367
921	62644	5299
922	62708	5231
923	62782	5163
924	62860	5096
925	62921	5028
926	62988	4960
927	63062	4892
928	63131	4824
929	63201	4757
930	63278	4689
931	63336	4621
932	63401	4552
933	63463	4484
934	63526	4416
935	63583	4347
936	63643	4279
937	63709	4211
938	63772	4142
939	63828	4074
940	63902	4006
941	63974	3939
942	64038	3870
943	64105	3802
944	64181	3735
945	64257	3667
946	64340	3600
947	64414	3533
948	64494	3465
949	64566	3398
950	64638	3330
951	64710	3262
952	64778	3194
953	64844	3126
954	64917	3058
955	64983	2990
956	65054	2923
957	65133	2855
958	65208	2787
959	65277	2719
960	65344	2651
961	65416	2584
962	65483	2515
963	65548	2447
964	65623	2380
965	65684	2311
966	65740	2243
967	65806	2175
968	65860	2106
969	65924	2038
970	65985	1970
971	66058	1902
972	66137	1835
973	66218	1767
974	66277	1699
975	66344	1631
976	66409	1563
977	66472	1495
978	66525	1426
979	66593	1359
980	66663	1291
981	66731	1223
982	66808	1155
983	66864	1087
984	66927	1019
985	66994	951
986	67060	883
987	67126	815
988	67181	747
989	67253	679
990	67329	611
991	67402	543
992	67462	475
993	67533	407
994	67592	339
995	67664	271
996	67729	203
997	67799	135
998	67864	67
999	67931	0
